© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Vitamin K Signaling Pathway	3.84E-01	0.3333333333333333	1.55E-01	ALPL,ASPH,CHUK,CYP4F2,FAS,NFKB1,NFKB2,PRKAR2B,PRRG4	
Creatine metabolism	3.84E-01		2.00E-01	GATM,SLC6A12	
Glucose and Glucose-1-phosphate Degradation	3.84E-01		2.00E-01	HK1,HK3	
Neurotransmitter clearance	3.84E-01		2.00E-01	MAOA,SLC22A1	
Prostanoid Biosynthesis	3.84E-01		2.00E-01	CYP2S1,TBXAS1	
Protein lipoylation	3.84E-01		2.00E-01	DLAT,LIAS	
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	3.84E-01		2.00E-01	CR1,RUNX1	
γ-glutamyl Cycle	3.84E-01		2.00E-01	ANPEP,OPLAH	
Hedgehog 'off' state	3.84E-01	3.1529631254723287	1.49E-01	ADCY3,ADCY4,CSNK1A1,GSK3B,NUMB,PRKAR2B,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,PTCH1,TUBA1C,TUBA4A	
Cardiac conduction	3.85E-01	2.0647416048350555	1.48E-01	ASPH,ATP1B2,ATP2B1,ATP2B2,CACNG8,CLIC2,ITPR1,ITPR2,KCND1,KCNE1,KCNE5,KCNH2,KCNJ2,RYR1,SCN1B,SCN3B,SCN9A,SLC8A1,SRI	
Elastic fibre formation	3.86E-01	2.6457513110645903	1.59E-01	EMILIN2,FURIN,ITGB3,ITGB5,LOXL1,LOXL3,LTBP1	
Beta-catenin independent WNT signaling	3.93E-01	3.2863353450309964	1.46E-01	AGO4,AP2B1,ARRB2,BRSK2,FZD1,FZD5,GNAT2,GNG10,GNG7,ITPR1,ITPR2,NLK,PI4K2B,PIK3CB,PIK3R6,PPP3R1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAC1,RAC2,STK16,STK3,STK33,TCF7L1	
Post-translational protein phosphorylation	4E-01	3.0	1.51E-01	APLP2,APOA2,APOL1,APP,C4A,CKAP4,DNAJC3,FAM20A,IGFBP4,LTBP1,NUCB1,PROC,PRSS23,QSOX1,SERPINA1,TGOLN2	
ATM Signaling	4E-01	0.0	1.52E-01	ATF1,CDC25C,CREB5,CREBBP,GADD45A,GADD45B,GADD45G,MAPK13,MAPK14,NBN,NFKBIA,PPP1CC,TP53,ZEB1,ZNF420	
Cellular response to mitochondrial stress	4E-01	1.0	1.74E-01	EIF2AK1,EIF2B1,TSG101,UBAP1	
BEX2 Signaling Pathway	4.02E-01	-0.30151134457776363	1.54E-01	AKT3,BAD,ERBB2,GSK3B,HIF1A,NFKB1,NFKB2,NFKBIA,PLXNC1,RELB,STAT3,TCF7L1	
Granzyme A Signaling	4.03E-01	1.0	1.55E-01	CASP1,H1-10,H1-2,H1-3,H1-4,H1-6,LMNB1,NDUFA4L2,NDUFA8,NDUFS8,NDUFV1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.03E-01	2.3333333333333335	1.55E-01	CASP1,CCL2,CCL5,IFNAR1,IFNAR2,IFNK,NFKB1,NFKB2,S1PR1,STAT1,TLR4	
Mitochondrial biogenesis	4.04E-01	1.2649110640673518	1.56E-01	ACSS2,CREBBP,CYCS,MAPK14,PPARA,PRKAB2,PRKAG3,SMARCD3,SOD2,TBL1X	
Phospholipases	4.04E-01	0.7071067811865475	1.56E-01	ABHD3,LCAT,NAPEPLD,PLA2G2F,PLA2G4A,PLAAT5,PLCD1,PLCL2,PLD4,PLD6	
Zn Homeostasis Signaling Pathway	4.06E-01	1.5689290811054724	1.42E-01	ADCY3,ADCY4,ADGRB2,ADGRE1,ADGRE2,ADGRE5,ADGRG3,ADRA2A,AKT3,ALOX12,APP,BMP3,BMP8B,CCR5,CCR6,CELSR1,CHUK,CLU,CNR2,CREB5,CREBBP,CXCR6,CYBA,CYBB,CYSLTR2,DRD4,F2RL1,FCER1G,FFAR2,FFAR3,FPR1,FPR2,FPR3,FZD1,FZD5,GABBR1,GNA15,GNAQ,GPR107,GPR137,GPR137B,GPR141,GPR15,GPR153,GPR180,GPR183,GPR21,GPR27,GPR34,GPR82,GPR84,GPR89B,GRIN3A,GRINA,GSK3B,GUCY1B1,HCAR2,HCAR3,HRH2,HRH4,HTR4,ITPR1,ITPR2,KCNB1,LTB4R,LYN,MAPK13,MAPK14,MMP24,MMP25,MMP8,MMP9,NAPEPLD,NCF4,NFAT5,NFKB1,NFKB2,NTSR1,P2RY10,P2RY13,P2RY14,P2RY2,PDE4B,PDE5A,PIK3CB,PIK3R6,PLD6,PPP3R1,PRKAR2B,PRKCD,PTGDR2,RAC1,RAC2,S1PR1,SIRT7,SLC12A4,SLC39A13,SLC39A8,SLC9A1,SLC9A8,SMAD3,STAT1,STAT3,TBXA2R,TDP2,TLR4,TMEM109,TP53,TULP2	
Transcriptional regulation of pluripotent stem cells	4.13E-01		1.88E-01	PBX1,SOX2,STAT3	
TEC Kinase Signaling	4.14E-01	3.2659863237109046	1.46E-01	BLK,BMX,FAS,FCER1G,FOS,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,HCK,ITGA2B,ITGA4,ITGA7,ITGA9,ITGAD,ITGAM,ITGAX,ITGB2,ITGB3,ITGB4,ITGB5,JAK2,JAK3,LYN,NFKB1,NFKB2,PIK3CB,PIK3R6,PRKCD,PTK2B,RAC1,RAC2,RELB,RHOT1,STAT1,STAT3,STAT5A,STAT5B,TLR4,TNFRSF21,VAV1,WAS	
14-3-3-mediated Signaling	4.16E-01	0.5	1.51E-01	AKT3,BAD,FOS,GRB2,GSK3B,MAP2K2,MAPT,PIK3CB,PIK3R6,PLCD1,PLCL2,PRKCD,RAF1,RALB,RAP2B,TNFRSF1A,TUBA1C,TUBA4A,YWHAQ	
Synaptic Long Term Depression	4.17E-01	2.5018511664883785	1.48E-01	ABHD3,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GNA12,GNA15,GNAQ,GNAT2,GUCY1B1,GUCY2C,IGF1R,ITPR1,ITPR2,LCAT,LYN,MAP2K2,PLA2G2F,PLA2G4A,PLAAT5,PLCD1,PLCL2,PRKCD,RAF1,RALB,RAP2B,RYR1	
Apelin Cardiomyocyte Signaling Pathway	4.18E-01	1.8073922282301278	1.53E-01	AKT3,HIF1A,ITPR1,MAPK13,MAPK14,MYL5,MYL9,PIK3CB,PIK3R6,PLCD1,PLCL2,PRKCD,SLC8A1,SLC9A1,SLC9A8	
PI Metabolism	4.2E-01	1.386750490563073	1.55E-01	ARF1,BMX,FIG4,INPPL1,PI4K2B,PIK3CB,PIK3R6,PIP5K1A,RAB4A,RAB5A,SBF2,TNFAIP8L1,TNFAIP8L2	
VEGF Family Ligand-Receptor Interactions	4.2E-01	1.9414506867883021	1.55E-01	AKT3,FOS,GRB2,MAP2K2,PIK3CB,PIK3R6,PLA2G2F,PLA2G4A,PRKCD,RAF1,RALB,RAP2B,SOS2	
TP53 Regulates Transcription of DNA Repair Genes	4.24E-01	2.1105794120443453	1.57E-01	AP1G1,AP1S3,CDK12,CDK7,CTDP1,ELL,FOS,MSH2,POLR2A,POLR2J,TP53	
Co-inhibition by BTLA	4.26E-01	0.6324555320336759	1.59E-01	BRSK2,BTLA,GRB2,PI4K2B,PIK3CB,PIK3R6,STK16,STK3,STK33,TNFRSF14	
Stearate Biosynthesis I (Animals)	4.26E-01	1.3416407864998738	1.59E-01	ACOT2,ACSF2,ACSL1,ACSL3,ACSL4,ACSM1,LPGAT1,PORCN,SIRT7,TBXAS1	
Germ Cell-Sertoli Cell Junction Signaling	4.3E-01		1.50E-01	ACTN1,CFL2,CTNNA1,EPN1,EPN2,ILK,LIMK1,LIMK2,MAP2K2,MAP2K6,MAP3K3,MAPK14,NECTIN2,NECTIN3,PIK3CB,PIK3R6,PXN,RAC1,RAC2,RALB,RAP2B,RHOT1,TNFRSF1A,TUBA1C,TUBA4A	
WNT/β-catenin Signaling	4.3E-01	0.8944271909999159	1.50E-01	ACVR1B,AKT3,APPL2,CD44,CREBBP,CSNK1A1,CSNK1D,DKK4,EP300,FRAT1,FZD1,FZD5,GNAQ,GSK3B,ILK,KREMEN1,MARK2,NLK,SOX2,TCF7L1,TLE3,TLE4,TP53,WNT10A,WNT6	
MSP-RON Signaling Pathway	4.3E-01		1.61E-01	CCL2,CSF2RB,ITGAM,ITGB2,JAK2,PIK3CB,PIK3R6,TLR2,TLR4	
Intra-Golgi and retrograde Golgi-to-ER traffic	4.3E-01	3.2863353450309964	1.49E-01	ACTR10,ARF1,COG2,COG6,CUX1,CYTH4,IGF2R,KDELR2,KIF1B,KIF22,KIF26B,KIF27,KLC3,MAN1A1,MAN2A2,NAPB,PLA2G4A,PLIN3,RAB1A,RAB36,RAB43,RAB6B,RHOBTB3,RIC1,STX16,TGOLN2,TUBA1C,TUBA4A,VAMP3,VPS52	
NF-κB Signaling	4.34E-01	3.5919965234379396	1.47E-01	AKT3,CHUK,CREBBP,EGF,EP300,FCER1G,FGFR2,FGFR3,GSK3B,IGF1R,IGF2R,IL1R1,IL1R2,IRAK3,IRAK4,LTBR,MAP2K6,MAP3K3,MAP4K4,NFKB1,NFKB2,NFKBIA,PELI1,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,RELB,TAB3,TANK,TBK1,TDP2,TIRAP,TLR1,TLR10,TLR2,TLR4,TLR5,TLR8,TNFAIP3,TNFRSF1A,TNIP1	
UVA-Induced MAPK Signaling	4.36E-01	0.3779644730092272	1.55E-01	CYCS,FOS,MAPK13,MAPK14,PIK3CB,PIK3R6,PLCD1,PLCL2,RALB,RAP2B,SMPD1,SMPD3,SMPD4,STAT1,TP53	
Unfolded protein response	4.38E-01	0.9045340337332909	1.56E-01	AMFR,ATF6,CD82,CEBPB,CEBPD,CEBPG,DNAJC13,DNAJC3,DNAJC5,EIF2AK3,HSPA6,NFE2L2,OS9,UBXN4	
Nephrin family interactions	4.38E-01	1.0	1.82E-01	ACTN1,CASK,KIRREL3,PIK3CB	
Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes	4.38E-01	1.0	1.82E-01	BHLHE40,CREBBP,DBP,PER2	
TCA Cycle II (Eukaryotic)	4.38E-01	-2.0	1.82E-01	FH,IDH3A,MDH1,MDH2	
Tryptophan Degradation III (Eukaryotic)	4.38E-01		1.82E-01	CYP2S1,EHHADH,HADH,TBXAS1	
HIPPO signaling	4.43E-01	1.3416407864998738	1.58E-01	CD44,CSNK1D,LATS2,LLGL1,MOB1A,PPP1CB,PPP1CC,PPP1R10,RASSF1,SMAD3,STK3,YWHAQ	
Neurotrophin/TRK Signaling	4.43E-01	2.3094010767585034	1.58E-01	CREB5,CREBBP,FOS,GRB2,MAP2K2,MAP2K6,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,SOS2	
1,25-dihydroxyvitamin D3 Biosynthesis	4.43E-01		3.33E-01	POR	
5-aminoimidazole Ribonucleotide Biosynthesis I	4.43E-01		3.33E-01	PPAT	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	4.43E-01		3.33E-01	EHHADH	
Intracellular oxygen transport	4.43E-01		3.33E-01	CYGB	
L-carnitine Biosynthesis	4.43E-01		3.33E-01	TMLHE	
L-cysteine Degradation I	4.43E-01		3.33E-01	GOT2	
Lactose synthesis	4.43E-01		3.33E-01	B4GALT1	
MTF1 activates gene expression	4.43E-01		3.33E-01	CSRP1	
NFE2L2 regulating TCA cycle genes	4.43E-01		3.33E-01	NFE2L2	
S-adenosyl-L-methionine Biosynthesis	4.43E-01		3.33E-01	MAT2A	
Embryonic Stem Cell Differentiation into Cardiac Lineages	4.43E-01		2.22E-01	SOX2,SP4	
Erythrocytes take up oxygen and release carbon dioxide	4.43E-01		2.22E-01	AQP1,CA2	
GDP-glucose Biosynthesis	4.43E-01		2.22E-01	HK1,HK3	
Leucine Degradation I	4.43E-01		2.22E-01	BCAT1,MCCC2	
Pathogenesis of Multiple Sclerosis	4.43E-01		2.22E-01	CCL5,CCR5	
Sphingosine and Sphingosine-1-phosphate Metabolism	4.43E-01		2.22E-01	ASAH2B,NAAA	
SNARE Signaling Pathway	4.47E-01	3.9000674757995495	1.53E-01	ADCY3,ADCY4,CACNB4,DNAJC5,GUCY1B1,MYH10,MYH7B,MYH9,MYL5,MYL9,MYO10,NAPB,PRKAR2B,RAB1A,RAB27A,RAB2A,RAB7A,STX16,STXBP2,VAMP3	
Glioma Signaling	4.48E-01	1.9414506867883021	1.53E-01	AKT3,E2F3,E2F5,EGF,GRB2,HDAC4,HDAC9,IGF1R,IGF2R,MAP2K2,PIK3CB,PIK3R6,PRKCD,RAF1,RALB,RAP2B,SOS2,TFDP1,TP53	
ABC-family proteins mediated transport	4.49E-01	1.885618083164127	1.54E-01	ABCA7,ABCB4,ABCB7,ABCC10,ABCC2,EIF2B1,ERLIN1,OS9,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,TSG101,UBAP1	
WNK Renal Signaling Pathway	4.53E-01	-0.5773502691896258	1.55E-01	AKT3,AMFR,ANAPC5,CUL3,IRS2,MAPK14,NEDD4,PIK3CB,PIK3R6,PRKCD,SGK1,SLC12A4,SLC12A6,UBR2,WNK1,XIAP	
Chondroitin Sulfate Biosynthesis	4.55E-01	0.3333333333333333	1.64E-01	B3GALT6,CHST12,CHST15,CHSY1,CSGALNACT2,HS2ST1,HS3ST1,NDST1,XYLT1	
Metabolism of water-soluble vitamins and cofactors	4.61E-01	1.386750490563073	1.59E-01	AASDHPPT,COASY,GSTO1,GSTO2,MCCC2,MOCS1,MOCS2,PANK1,PANK2,SLC2A3,TCN1,VNN1,VNN2	
Dermatan Sulfate Degradation (Metazoa)	4.61E-01		2.00E-01	CEMIP2,GM2A,HEXD	
Formation of definitive endoderm	4.61E-01		2.00E-01	EOMES,GATA6,SMAD3	
Platelet Adhesion to exposed collagen	4.61E-01		2.00E-01	FCER1G,GP6,LYN	
Telomere Extension by Telomerase	4.61E-01		2.00E-01	NBN,PINX1,TERF2IP	
Sulfur amino acid metabolism	4.61E-01	0.4472135954999579	1.79E-01	CBS,CSAD,ENOPH1,GOT2,SQOR	
TNFs bind their physiological receptors	4.61E-01	-0.4472135954999579	1.79E-01	CD70,TNFRSF14,TNFRSF1A,TNFRSF9,TNFSF8	
Signaling by TGFBR3	4.61E-01	2.1213203435596424	1.67E-01	AGO4,APH1B,ARRB2,EP300,NCSTN,PSEN1,SMAD3,TIMP2	
Thyroid Cancer Signaling	4.64E-01	0.5773502691896258	1.60E-01	AKT3,FOS,GSK3B,IRS2,MAP2K2,PDK1,PIK3CB,PIK3R6,RALB,RAP2B,TCF7L1,TP53	
VDR/RXR Activation	4.64E-01	0.0	1.60E-01	CALB1,CAMP,CCL5,CCNC,CEBPB,EP300,GADD45A,MXD1,PRKCD,PSMC5,SERPINB1,VDR	
Cell Cycle: G1/S Checkpoint Regulation	4.69E-01	-0.3333333333333333	1.62E-01	BMI1,E2F3,E2F5,FBXL5,GSK3B,HDAC4,HDAC9,MAX,SMAD3,TFDP1,TP53	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	4.69E-01	-0.4472135954999579	1.62E-01	CSNK1A1,CSNK1D,FZD1,FZD5,GSK3B,IFNAR1,IFNK,NCOA4,TCF7L1,WNT10A,WNT6	
PI3K Cascade	4.7E-01	1.1338934190276817	1.71E-01	FGFR2,FGFR3,FLT3,GAB2,GRB2,IRS2,PIK3CB	
Digestion	4.8E-01	2.0	1.90E-01	CEL,CHIT1,GUCY2C,MGAM	
Glutathione Redox Reactions I	4.8E-01	2.0	1.90E-01	CLIC2,GPX3,GSR,GSTK1	
Synaptic adhesion-like molecules	4.8E-01	1.0	1.90E-01	FLOT1,FLOT2,LRFN1,PTPRS	
The Visual Cycle	4.8E-01		1.90E-01	AKR1C3,DHRS9,RDH10,RDH5	
Regulation of eIF4 and p70S6K Signaling	4.82E-01	0.6324555320336759	1.51E-01	AKT3,EIF2B1,EIF3I,EIF4E3,EIF4G1,EIF4G3,ELP5,GRB2,ITGA2B,ITGA4,ITGA7,ITGA9,ITGAD,ITGAM,ITGAX,ITGB2,ITGB3,ITGB4,ITGB5,MAP2K2,MAPK13,MAPK14,MKNK1,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,SOS2,TSG101,UBAP1	
Oxidative Stress Induced Senescence	4.83E-01	0.22941573387056174	1.56E-01	AGO4,BMI1,CBX8,E2F3,FOS,H2BC15,H3-3B,H3C1,H3C6,MAP2K6,MAP4K4,MAPK14,MAPKAPK2,PHC2,RBBP4,RBBP7,TFDP1,TNIK,TP53	
Xenobiotic Metabolism PXR Signaling Pathway	4.89E-01	1.876629726513673	1.53E-01	ABCC2,ALDH16A1,ALDH1A2,ALDH6A1,CHST12,CHST15,CREBBP,EP300,GRIP1,GSTK1,GSTO1,GSTO2,HS2ST1,HS3ST1,MAOA,MAOB,NDST1,PPM1A,PPP1CB,PPP1CC,PPP1R10,PRKAR2B,PRKCD,UGT2B11,UGT8	
Ovarian Cancer Signaling	4.9E-01	1.2649110640673518	1.54E-01	AKT3,CD44,E2F3,E2F5,EGF,FZD1,FZD5,GSK3B,HDAC4,HDAC9,MAP2K2,MMP9,MSH2,PIK3CB,PIK3R6,PRKAR2B,RAF1,RALB,RAP2B,TCF7L1,TFDP1,TP53,WNT10A,WNT6	
p75 NTR receptor-mediated signalling	4.9E-01	2.8577380332470415	1.54E-01	ADAM17,AKAP13,APH1B,ARHGEF9,BAD,BRSK2,FGD3,NCSTN,NFKB1,NFKBIA,PI4K2B,PIK3CB,PIK3R6,PREX1,PSEN1,RAC1,RTN4,RTN4R,SOS2,SQSTM1,STK16,STK3,STK33,VAV1	
BBSome Signaling Pathway	4.92E-01	1.4320780207890627	1.47E-01	ADGRB2,ADGRE1,ADGRE2,ADGRE5,ADGRG3,ADRA2A,ARL13A,ARRB2,ATF6,CBX8,CCR5,CCR6,CCT3,CELSR1,CNR2,CUL3,CXCR6,CYSLTR2,DRD4,F2RL1,FFAR2,FFAR3,FPR1,FPR2,FPR3,FZD1,FZD5,GABBR1,GPR107,GPR137,GPR137B,GPR141,GPR15,GPR153,GPR180,GPR183,GPR21,GPR27,GPR34,GPR82,GPR84,GPR89B,HCAR2,HCAR3,HRH2,HRH4,HTR4,IGF1R,LEPR,LTB4R,MAPK13,MAPK14,NTSR1,P2RY10,P2RY13,P2RY14,P2RY2,PHF19,PRKAR2B,PRKCD,PTCH1,PTGDR2,RAB5A,S1PR1,STAT3,STX3,TBXA2R	
Remodeling of Epithelial Adherens Junctions	4.93E-01	2.4494897427831783	1.64E-01	ACTN1,ACTR3,ARPC1B,CLIP1,CTNNA1,HGF,HGS,RAB5A,RAB7A,TUBA1C,TUBA4A	
GABA Receptor Signaling	4.98E-01		1.56E-01	ADCY3,ADCY4,AP2B1,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GABBR1,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,GUCY1B1,ITPR1,ITPR2,KCNH2,SLC6A12	
Myogenesis	4.99E-01	2.23606797749979	1.85E-01	CTNNA1,MAP2K6,MAPK14,MEF2A,MEF2B	
Syndecan interactions	4.99E-01	1.3416407864998738	1.85E-01	ACTN1,CASK,ITGB3,ITGB4,ITGB5	
RET signaling	5.01E-01	2.6457513110645903	1.75E-01	GAB2,GRB10,GRB2,IRS2,PDLIM7,PIK3CB,RAP1GAP	
Transcriptional Regulation by VENTX	5.01E-01	-0.3779644730092272	1.75E-01	AGO4,ANAPC5,CDC16,CEBPB,FZR1,NFKB1,TP53	
Regulation of Apoptosis	5.09E-01	1.6666666666666667	1.70E-01	ARHGAP10,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6	
Sensory processing of sound by outer hair cells of the cochlea	5.09E-01	1.6666666666666667	1.70E-01	ATP2B2,CASK,CDH23,EPS8L2,KCNMA1,LHFPL5,MPP1,MYH9,RIPOR2	
Signaling by EGFR	5.09E-01	3.0	1.70E-01	ADAM17,EGF,EPN1,GRB2,HGS,PAG1,PTPN12,PXN,SH3KBP1	
Generic Transcription Pathway	5.11E-01	-2.794002794004191	1.48E-01	CCNC,CREBBP,HDAC4,HDAC9,KAT2A,MAML3,MED10,MED12,MED16,MED24,NOTCH4,NR1I3,NR6A1,PPARA,RBPJ,TBL1X,VDR,ZFP14,ZFP28,ZNF141,ZNF175,ZNF19,ZNF200,ZNF225,ZNF230,ZNF233,ZNF235,ZNF248,ZNF25,ZNF253,ZNF266,ZNF267,ZNF3,ZNF304,ZNF320,ZNF337,ZNF347,ZNF383,ZNF419,ZNF420,ZNF429,ZNF443,ZNF445,ZNF461,ZNF493,ZNF550,ZNF567,ZNF586,ZNF597,ZNF599,ZNF621,ZNF649,ZNF664,ZNF689,ZNF706,ZNF71,ZNF736,ZNF746,ZNF749,ZNF792,ZNF839,ZNF92	
Lung Ionic Balance Signaling Pathway	5.12E-01	1.5650160901149996	1.47E-01	ADGRB2,ADGRE1,ADGRE2,ADGRE5,ADGRG3,ADRA2A,ATP1B2,BLK,CCR5,CCR6,CELSR1,CNGB1,CNR2,CXCR6,CYSLTR2,DRD4,F2RL1,FFAR2,FFAR3,FPR1,FPR2,FPR3,FZD1,FZD5,GABBR1,GPR107,GPR137,GPR137B,GPR141,GPR15,GPR153,GPR180,GPR183,GPR21,GPR27,GPR34,GPR82,GPR84,GPR89B,HCAR2,HCAR3,HCK,HRH2,HRH4,HTR4,IFNAR1,IFNAR2,IFNK,KCNMA1,LTB4R,LYN,MYH9,NEDD4,NTSR1,P2RY10,P2RY13,P2RY14,P2RY2,PLCD1,PLCL2,PRKAB2,PRKAG3,PRKAR2B,PRKCD,PTGDR2,ROCK1,S1PR1,TBXA2R,TNFRSF1A,VDAC1	
Miro GTPase Cycle	5.13E-01		2.50E-01	MFN2,RHOT1	
Superoxide Radicals Degradation	5.13E-01		2.50E-01	CYGB,SOD2	
TRAIL signaling	5.13E-01		2.50E-01	CASP10,CFLAR	
Colanic Acid Building Blocks Biosynthesis	5.15E-01		2.14E-01	GFUS,UGDH,UGP2	
Glutamate and glutamine metabolism	5.15E-01		2.14E-01	GLUL,GOT2,PYCR3	
Leukotriene Biosynthesis	5.15E-01		2.14E-01	ALOX5,ALOX5AP,LTA4H	
Nucleotide biosynthesis	5.15E-01		2.14E-01	DHODH,PPAT,UMPS	
Regulation of TP53 Activity through Association with Co-factors	5.15E-01		2.14E-01	AKT3,TP53,TP63	
Role of IL-17A in Psoriasis	5.15E-01		2.14E-01	IL17RA,S100A8,S100A9	
The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex	5.15E-01		2.14E-01	CREBBP,CSNK1D,PER2	
Activation of Matrix Metalloproteinases	5.17E-01	2.4494897427831783	1.82E-01	FURIN,MMP24,MMP25,MMP8,MMP9,TIMP2	
Unfolded Protein Response (UPR)	5.17E-01	0.8164965809277261	1.82E-01	ATF6,CREBRF,EIF2AK3,EIF2B1,TSG101,UBAP1	
nNOS Signaling in Skeletal Muscle Cells	5.2E-01	-0.7071067811865475	1.74E-01	CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,ITPR1,ITPR2,RYR1	
Ribonucleotide Reductase Signaling Pathway	5.2E-01	2.041241452319315	1.55E-01	AKT3,BAD,CREB5,CREBBP,E2F3,E2F5,ERBB2,FBXL5,FOS,FOXO3,H3-3B,HGF,HIF1A,MAPK13,MAPK14,MMP9,NFKB1,NFKB2,PIK3CB,PIK3R6,SETD2,SMARCD3,STAT3,TP53,WEE1	
Platelet homeostasis	5.21E-01	1.0690449676496976	1.63E-01	ATP2B1,ATP2B2,GNG10,GNG7,GUCY1B1,ITPR1,ITPR2,KCNMA1,MAPK14,PAFAH2,PDE5A,PLA2G4A,SLC8A1,SRI	
Valine Degradation I	5.26E-01		2.00E-01	ALDH6A1,BCAT1,ECHDC3,EHHADH	
Metabolism of polyamines	5.27E-01	2.5298221281347035	1.69E-01	AZIN1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,SAT1	
Transport of inorganic cations/anions and amino acids/oligopeptides	5.27E-01	3.1529631254723287	1.60E-01	SLC12A4,SLC12A6,SLC15A4,SLC1A1,SLC1A3,SLC1A5,SLC25A18,SLC36A1,SLC38A2,SLC4A5,SLC6A12,SLC6A19,SLC6A6,SLC8A1,SLC9A1,SLC9A8,SRI	
FXR/RXR Activation	5.32E-01	1.0	1.55E-01	ABCB11,ABCB4,ABCC2,AKT3,CD70,CLCF1,CREBBP,CYP27A1,EIF2AK3,FABP6,GSTK1,GSTO1,GSTO2,ICAM1,IL15,LIF,MAFG,NFE2L2,NFKB1,NFKB2,OSM,PPARA,PRKAB2,PRKAG3,SLC51A,SOCS3,TNFSF8	
