© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	nasal_5k_ipa - 2025-12-01 12:15 PM
Date	Mon Dec 01 09:15:07 PST 2025
Analysis ID	43063910

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed)

Canonical Pathways for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
TLR9	transmembrane receptor	 	1	Inhibited	biased	-2.449	1.37E-06	5.00E-03	TLR9	CCR7,CD69,IFIT1,IFIT3,IRF4,ISG15	6 (1)	1	 	RNF216	 	CCL5,IFN BETA (family),IFNB1,IFNL1,IL4,INTERFERON ALPHA (family),IRF1,IRF9,LTA,PRDM1,STAT1	TLR7	 	 	 	 	
RNF5	enzyme	 	2	Activated	biased	2.646	1.62E-06	3.70E-03	MAVS,RNF5	FDFT1,IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	7 (2)	2	 	 	 	 	MAVS	 	 	 	 	
CDKN2B	transcription regulator	 	3	 	 	1.667	1.72E-06	2.29E-02	ATM,CASP3,CDKN2B,IRF3,RB1,TBK1,TERT	CCN2,IFIT1,IFIT2,IFIT3,ISG15,OASL,PER1,PHGDH,RSAD2	9 (7)	7	 	CIP2A,TREM1	 	 	TERT	 	 	 	 	
TAFAZZIN	enzyme	-0.256	1	 	biased	1.000	1.80E-06	1.80E-03	TAFAZZIN	CCN2,CD44,IFIT1,IFIT2	4 (1)	1	 	 	 	 	IRF3	 	 	 	 	
F3	transmembrane receptor	 	2	Activated	biased	3.162	1.95E-06	1.62E-02	F10,F3,IRF3,STAT1,STING1	CCN2,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,OASL,PDCD1LG2,RSAD2	10 (5)	5	GP6,PGR,TREM1	 	 	TREX1	ADAR,CCL5,IFIH1,IRF3,STAT1,STAT2,STING1,USP18	 	 	 	 	
SOCS1	other	-1.072	1	Activated	biased	2.236	2.07E-06	2.70E-03	SOCS1	IFIT1,IFIT2,ISG15,MMP12,RSAD2	5 (1)	1	IFNA2,IFNAR1,IL27,IL4,MAVS	BANF1	 	IFNL1	IFIH1,IFNB1,INTERFERON ALPHA (family),IRS2,STAT2,STAT6,TGM2	 	 	 	 	
STAG2	other	 	1	Activated	biased	2.236	2.07E-06	1.20E-03	STAG2	IFIT2,IFIT3,ISG15,OASL,RSAD2	5 (1)	1	 	 	 	 	IFIH1,IRF9,USP18	 	 	 	 	
IFNL1	cytokine	 	1	Inhibited	biased	-2.449	2.13E-06	4.10E-03	IFNL1	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	IL27,INTERFERON ALPHA (family),IRF1,IRF3,LINC02574,MAVS,NONO,SOCS1,STING1,TICAM1,TLR9	PRMT7,ZNF750	 	IFIH1,IRF9,PABIR1,STAT1,STAT2,STAT5A/B (family),USP18	 	 	 	 	 	
STING1	ion channel	 	2	Inhibited	biased	-3.162	2.30E-06	2.23E-02	NFKB1,STAT1,STING1	CD44,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,OASL,PDCD1LG2,RSAD2	10 (3)	3	CGAS,OSBPL9	F3,MARCHF5,PPT1,RC3H1	 	BTK,CCL5,IFN BETA (family),IFNA1/IFNA13,IFNA2,IFNB1,IFNL1,IL11,IL22,IRF3,IRF9,STAT2,USP18	 	 	 	 	 	
BANF1	other	0.205	1	Activated	biased	2.449	2.31E-06	4.10E-03	BANF1	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	 	 	 	 	ADAR,CCL5,CDKN1B,CGAS,IFIH1,IFN BETA (family),IFNAR1,IFNB1,IRF1,IRF3,IRF9,SOCS1,STAT1,STAT2,TICAM1	 	 	 	 	
UBB	enzyme	0.223	2	 	 	1.667	2.44E-06	4.88E-02	JNK (family),JUN,MAP3K7,TRAF2,UBB	CCN2,CCR7,CD44,IFIT1,IFIT2,IFIT3,MMP12,OASL,WEE1	9 (5)	4	 	 	 	 	MAP3K7	 	 	 	 	
RIPK2	kinase	-0.495	1	Inhibited	biased	-2.449	2.51E-06	4.10E-03	RIPK2	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	HCK	 	 	IFIH1,IRF9,MAP3K7,STAT1,STAT2,USP18	 	 	 	 	 	
LBP	transporter	 	2	Inhibited	biased	-2.530	2.53E-06	3.45E-02	IRF3,JNK (family),LBP,P38 MAPK (family),STAT1	CCN2,CCR7,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,PDCD1LG2,RSAD2	10 (5)	5	IL2,IL22,INTERFERON ALPHA (family)	 	 	IFN BETA (family),IRF3,STAT1	 	 	 	 	 	
ETV6-RUNX1	fusion gene/product	 	2	Activated	biased	2.333	2.54E-06	3.10E-03	ETV6-RUNX1,IRF3	ANO1,EMP3,GZMB,IFIT1,IFIT2,ISG15,MS4A1,RSAD2,SPIB	9 (2)	2	 	 	 	 	ALOX5,CCL5,IRF1,IRF3,TNFRSF14	 	 	 	 	
SNAPIN	other	 	2	Activated	biased	2.333	2.64E-06	1.60E-02	P38 MAPK (family),SNAPIN,STAT1	CCN2,CCR7,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,PDCD1LG2	9 (3)	2	 	 	 	 	IFNB1,STAT1	 	 	 	 	
CASP7	peptidase	 	2	 	 	1.667	2.74E-06	1.62E-02	CASP7,P38 MAPK (family),STAT1	CCN2,CCR7,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,PDCD1LG2	9 (3)	3	CHROMR	MAP3K7	 	 	STAT1	 	 	 	 	
SPI1	transcription regulator	-1.051	1	Inhibited	 	-2.449	2.95E-06	5.10E-03	SPI1	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	ADAR	 	 	FCGR2B,PRDM1,USP18	 	 	 	 	 	
STING1	ion channel	 	1	Inhibited	biased	-2.646	3.16E-06	1.16E-02	STING1	IFIT1,IFIT2,IFIT3,ISG15,MMP12,OASL,RSAD2	7 (1)	1	CGAS,OSBPL9	F3,MARCHF5,PPT1,RC3H1	 	BTK,CCL5,IFN BETA (family),IFNA1/IFNA13,IFNA2,IFNB1,IFNL1,IL11,IL22,IRF3,IRF9,STAT2,USP18	 	 	 	 	 	
FCAR	transmembrane receptor	 	2	 	 	-1.897	3.27E-06	2.12E-02	ERK (family),FCAR,MAPK (family),MAPK1	CCN2,GZMB,IFIT1,IFIT2,IFIT3,ISG15,MS4A1,OASL,PDK4,POSTN	10 (4)	3	 	 	 	 	 	 	 	 	 	
FOS	transcription regulator	-1.526	3	Inhibited	biased	-2.828	3.31E-06	8.60E-03	CASP3,FOS,STAT1	CD44,IFIT1,IFIT2,IFIT3,IL31RA,IRF4,ISG15,PDCD1LG2	8 (3)	3	ADAP1,FOXC1,PRL	FGFR2,IL27,INTERFERON ALPHA (family)	 	IL11	CASP3,CCL5,CFLAR	 	 	 	 	
STEAP1	enzyme	 	2	 	 	1.414	3.31E-06	1.82E-02	AKT (family),CASP3,ERK (family),STEAP1	CCN2,CD44,IFIT3,ISG15,MMP12,MS4A1,PDK4,POSTN	8 (4)	3	 	 	 	CASP3	 	 	 	 	 	
PARP1	enzyme	 	2	Activated	 	3.162	3.81E-06	2.97E-02	AKT (family),IRF3,PARP1,STAT1	CD44,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,MMP12,PDCD1LG2,PDK4,RSAD2	10 (4)	3	EIF2AK4,PCBP2,TERT,TREX1	 	 	 	CCL5,CTLA4,IFN BETA (family),IRF3,STAT1	 	 	 	 	
UCN	other	 	2	 	 	0.000	3.93E-06	2.45E-02	AKT (family),MAPK (family),MAPK1,UCN	CCN2,CD44,GZMB,IFIT1,IFIT2,IFIT3,ISG15,MMP12,OASL,PDK4	10 (4)	3	 	 	 	 	 	 	 	 	 	
BCR-ABL1	fusion gene/product	 	2	 	 	0.905	4.17E-06	3.14E-02	BCR-ABL1,GSK3B,NFKB (complex),STAT1,STAT5A/B (family)	ADAM19,CCR7,CD69,CISH,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2,RFTN1	11 (5)	4	HCK	 	 	CDKN1B,STAT5A/B (family)	IFNAR1,STAT1	 	 	 	 	
PCBP1	translation regulator	 	3	Activated	biased	2.646	4.18E-06	4.10E-03	CASP3,PCBP1,STAT1	CD44,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2	7 (3)	3	 	 	 	CASP3	 	 	 	 	 	
PSEN1	peptidase	 	3	 	biased	1.890	4.66E-06	4.40E-03	CASP3,PSEN1,STAT1	FDFT1,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2	7 (3)	3	EIF2AK4	 	 	CASP3	 	 	 	 	 	
TERT	enzyme	 	2	Inhibited	 	-2.121	4.90E-06	3.23E-02	ATM,CASP3,IRF3,RB1,TBK1,TERT	CCN2,IFIT1,IFIT2,IFIT3,ISG15,OASL,PER1,RSAD2	8 (6)	6	MAPK15,RPSA,TRRAP	CDKN2B	 	IFIH1,IFNB1,IRF3,PARP1	CASP3,TWIST1	 	 	 	 	
MARCHF8	enzyme	 	2	 	 	-0.378	5.47E-06	8.40E-03	AKT (family),MARCHF8,STAT5A/B (family)	CCN2,CD44,CD69,CISH,MMP12,PDK4,RFTN1	7 (3)	2	 	 	 	 	STAT5A/B (family)	 	 	 	 	
PLA2	group	 	2	Inhibited	biased	-2.121	5.79E-06	3.79E-02	P38 MAPK (family),PLA2 (family),PRKCA	CCN2,CCR7,IFIT1,IFIT3,ISG15,MMP12,OASL,RSAD2	8 (3)	2	 	 	 	PRKCA	 	 	 	 	 	
IFNA2	cytokine	 	1	Inhibited	biased	-2.449	6.20E-06	1.38E-02	IFNA2	CISH,IFIT1,IFIT2,IFIT3,ISG15,RSAD2	6 (1)	1	IL27,STING1	IRF3	 	IFIH1,IFNAR1,IFNB1,IL4,IRF1,IRF9,PABIR1,PDCD4,SOCS1,STAT1,STAT2,STAT5A/B (family),TREX1,USP18	IL5	 	 	 	 	
SLC15A4	transporter	-0.587	2	Inhibited	biased	-2.646	6.72E-06	7.00E-03	SLC15A4,STAT1	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,OASL,PDCD1LG2	7 (2)	2	 	 	 	CCL5,IFN BETA (family),STAT1,USP18	 	 	 	 	 	
TASL	enzyme	-1.630	2	Inhibited	biased	-2.646	6.72E-06	7.00E-03	STAT1,TASL	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,OASL,PDCD1LG2	7 (2)	2	 	 	 	CCL5,IFN BETA (family),STAT1,USP18	 	 	 	 	 	
USP51	peptidase	0.975	2	 	 	-1.414	6.81E-06	4.28E-02	P38 MAPK (family),TWIST1,USP51	CCN2,CCR7,CD44,IFIT2,ISG15,MMP12,OASL,RSAD2	8 (3)	3	 	 	 	TWIST1	 	 	 	 	 	
TLR7	transmembrane receptor	 	1	Inhibited	biased	-2.449	7.11E-06	7.30E-03	TLR7	CCR7,CD44,CD69,IFIT1,IFIT3,ISG15	6 (1)	1	 	TLR9	 	IFN BETA (family),IFNB1,IRF1,IRF9,STAT1	 	 	 	 	 	
IL4	cytokine	-0.801	1	 	 	-1.890	7.81E-06	8.90E-03	IL4	ANO1,CCL18,CD1B,CD69,CISH,IRF4,PHGDH	7 (1)	1	IFNA2,SPRY2,TLR9	 	 	CASP3,COL3A1,COLLAGEN ALPHA1 (family),IL13RA2,IL5,IRS2,LTA,PRDM1,SOCS1,STAT1,STAT6	CDKN1B,FCGR2B,IL2,SFTPC	 	 	 	 	
STAT6	transcription regulator	 	2	 	biased	1.890	7.81E-06	4.90E-03	STAT1,STAT6	IFIT1,IFIT2,IFIT3,IL31RA,IRF4,ISG15,PDCD1LG2	7 (2)	2	IL4,LTA,PRKCA	IFN BETA (family),IL13RA2,SOCS1	 	COLLAGEN ALPHA1 (family)	STAT1	 	 	 	 	
MAVS	other	 	1	Inhibited	biased	-2.449	8.67E-06	7.60E-03	MAVS	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	 	PCBP2,RNF5,TREX1	 	BTK,IFIH1,IFN BETA (family),IFNB1,IFNL1,IL11,INTERFERON ALPHA (family),IRF3,SOCS1,STAT1,STAT2	 	 	 	 	 	
ETV3	transcription regulator	 	1	Activated	biased	2.236	8.83E-06	3.70E-03	ETV3	IFIT1,IFIT2,IFIT3,OASL,RSAD2	5 (1)	1	 	 	 	 	IFIH1,IRF9,STAT2,USP18	 	 	 	 	
SLC15A4	transporter	-0.587	1	Inhibited	biased	-2.000	9.25E-06	1.70E-03	SLC15A4	IFIT1,IFIT2,IFIT3,OASL	4 (1)	1	 	 	 	CCL5,IFN BETA (family),STAT1,USP18	 	 	 	 	 	
TASL	enzyme	-1.630	1	Inhibited	biased	-2.000	9.25E-06	1.70E-03	TASL	IFIT1,IFIT2,IFIT3,OASL	4 (1)	1	 	 	 	CCL5,IFN BETA (family),STAT1,USP18	 	 	 	 	 	
IRF3	transcription regulator	-0.187	2	Inhibited	biased	-2.646	9.49E-06	9.00E-03	IRF3,STAT1	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2,RSAD2	7 (2)	2	CGAS,INTERFERON ALPHA (family),LBP,LINC02574,MAP3K7,MAVS,STING1,TERT,TICAM1,TMEM120A	ADAR,ATAD3A,ATRX,BANF1,ETV6-RUNX1,F3,LINC00624,NLRP11,PARP1,PELI2,PPT1,RACK1,RNF216,SETX,TAFAZZIN	 	CCL5,IFIH1,IFN BETA (family),IFNA1/IFNA13,IFNL1,STAT1	IFNA2	 	 	 	 	
CSF2RB	transmembrane receptor	-1.244	2	 	biased	-1.134	9.95E-06	2.05E-02	CSF2RB,ERK (family),STAT5A/B (family)	CCN2,CD69,CISH,MS4A1,PDK4,POSTN,RFTN1	7 (3)	2	IL5	 	 	STAT5A/B (family)	 	 	 	 	 	
IL3RA	transmembrane receptor	 	2	 	biased	-1.134	1.04E-05	2.13E-02	ERK (family),IL3RA,STAT5A/B (family)	CCN2,CD69,CISH,MS4A1,PDK4,POSTN,RFTN1	7 (3)	2	IL5	CTLA4	 	STAT5A/B (family)	 	 	 	 	 	
LINC02574	other	 	2	Inhibited	biased	-2.646	1.04E-05	1.05E-02	IRF3,LINC02574,STAT1	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2,RSAD2	7 (3)	3	IFNAR1	 	 	IFIH1,IFNB1,IFNL1,IRF3,STAT1	 	 	 	 	 	
ETV6	transcription regulator	-0.233	1	Activated	biased	2.236	1.06E-05	5.70E-03	ETV6	IFIT1,IFIT3,ISG15,OASL,RSAD2	5 (1)	1	 	 	 	 	COLLAGEN ALPHA1 (family),STAT1,STAT2	 	 	 	 	
RTCB	enzyme	 	1	 	biased	1.732	1.25E-05	6.00E-04	RTCB	IFIT1,IFIT2,ISG15	3 (1)	1	 	 	 	 	IFNB1,INTERFERON ALPHA (family)	 	 	 	 	
IRGM	enzyme	 	1	Activated	biased	2.449	1.34E-05	1.35E-02	IRGM	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	 	USP8	 	 	CGAS,IFIH1,IRF9,STAT1,STAT2,USP18	 	 	 	 	
GP6	transmembrane receptor	 	2	 	 	1.134	1.37E-05	1.27E-02	F3,GP6,SYK	CCR7,CD44,CD69,IFIT1,IFIT3,ISG15,RSAD2	7 (3)	2	 	 	 	F3	 	 	 	 	 	
IL27RA	transmembrane receptor	 	2	 	biased	-1.134	1.37E-05	2.85E-02	ERK (family),IL27RA,STAT5A/B (family)	CCN2,CD69,CISH,MS4A1,PDK4,POSTN,RFTN1	7 (3)	2	IL27	 	 	STAT5A/B (family)	 	 	 	 	 	
ATRX	transcription regulator	 	2	Activated	biased	2.646	1.50E-05	1.34E-02	ATRX,IRF3,STAT1	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2,RSAD2	7 (3)	3	CIP2A	 	 	 	IRF3,STAT1	 	 	 	 	
FYB2	other	0.658	2	 	 	0.333	1.60E-05	3.49E-02	AKT (family),FYB2,MAPK1	CCN2,CD44,IFIT1,IFIT2,IFIT3,ISG15,MMP12,OASL,PDK4	9 (3)	2	 	 	 	 	 	 	 	 	 	
PDGF-DD	complex	 	2	 	 	0.333	1.69E-05	3.63E-02	AKT (family),MAPK1,PDGF-DD (complex)	CCN2,CD44,IFIT1,IFIT2,IFIT3,ISG15,MMP12,OASL,PDK4	9 (3)	2	 	 	 	 	 	 	 	 	 	
CHKA	kinase	0.285	2	 	 	0.333	1.74E-05	3.85E-02	AKT (family),CHKA,MAPK1	CCN2,CD44,IFIT1,IFIT2,IFIT3,ISG15,MMP12,OASL,PDK4	9 (3)	2	 	 	 	 	 	 	 	 	 	
ATAD3A	enzyme	 	1	 	biased	1.732	1.78E-05	1.10E-03	ATAD3A	IFIT1,ISG15,RSAD2	3 (1)	1	 	 	 	 	IFN BETA (family),IRF3	 	 	 	 	
IFNA1/IFNA13	cytokine	 	1	 	biased	-1.732	1.78E-05	2.90E-03	IFNA1/IFNA13	IFIT2,ISG15,RSAD2	3 (1)	1	IRF1,IRF3,JAK (family),STING1	 	 	STAT1,STAT2	 	 	 	 	 	
PCBP1	translation regulator	 	2	 	 	1.732	1.78E-05	1.60E-03	CASP3,PCBP1	CD44,IFIT3,ISG15	3 (2)	2	 	 	 	CASP3	 	 	 	 	 	
SETX	enzyme	-0.277	2	Activated	 	2.236	1.79E-05	3.10E-03	IRF3,SETX	IFIT1,IFIT2,IFIT3,ISG15,RSAD2	5 (2)	2	 	 	 	ZNF750	IRF3	 	 	 	 	
CHROMR	other	 	1	Inhibited	 	-2.646	1.95E-05	9.30E-03	CHROMR	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2,SQLE	7 (1)	1	 	 	 	ADAR,CASP7,IFIH1,STAT1,STAT2,TREX1,USP18	IRF1	 	 	 	 	
HOMER1	other	-0.352	2	Inhibited	 	-2.449	2.01E-05	1.82E-02	AKT (family),CASP3,HOMER1	CCN2,CD44,IFIT3,ISG15,MMP12,PDK4	6 (3)	2	TREM1	INS	 	 	CASP3	 	 	 	 	
HDAC2	transcription regulator	 	2	Inhibited	 	-2.121	2.27E-05	3.76E-02	CDKN2A,HDAC2,STAT1	CCL18,IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2,PHGDH	8 (3)	2	 	 	 	STAT1	SOX11	 	 	 	 	
LAPTM4B	other	 	2	Inhibited	 	-2.449	2.36E-05	2.20E-02	AKT (family),CASP3,LAPTM4B	CCN2,CD44,IFIT3,ISG15,MMP12,PDK4	6 (3)	2	 	 	 	 	CASP3	 	 	 	 	
SPHK	group	 	2	Inhibited	 	-2.449	2.36E-05	2.08E-02	AKT (family),CASP3,SPHK (family)	CCN2,CD44,IFIT3,ISG15,MMP12,PDK4	6 (3)	2	 	 	 	 	CASP3	 	 	 	 	
GH1	growth factor	 	2	 	biased	-1.134	2.60E-05	4.00E-02	ERK (family),GH1,STAT5A/B (family)	CCN2,CD69,CISH,MS4A1,PDK4,POSTN,RFTN1	7 (3)	2	 	 	 	STAT5A/B (family)	 	 	 	 	 	
STX4	transporter	 	2	Activated	 	2.449	2.77E-05	2.47E-02	AKT (family),CASP3,STX4	CCN2,CD44,IFIT3,ISG15,MMP12,PDK4	6 (3)	2	PRKCA	 	 	CASP3	 	 	 	 	 	
ARFGAP2	other	 	1	 	biased	-1.414	2.87E-05	1.20E-03	ARFGAP2	IFIT1,RSAD2	2 (1)	1	 	 	 	 	 	 	 	 	 	
CASP7	peptidase	 	1	 	biased	1.414	2.87E-05	1.30E-03	CASP7	IFIT3,ISG15	2 (1)	1	CHROMR	MAP3K7	 	 	STAT1	 	 	 	 	
MSR1	transmembrane receptor	 	1	 	biased	-1.414	2.87E-05	1.30E-03	MSR1	IFIT1,ISG15	2 (1)	1	 	 	 	 	 	 	 	 	 	
INSIG1	other	0.345	2	 	biased	0.447	3.08E-05	1.59E-02	HSPA5,INSIG1	CYP51A1,FDFT1,IFIT1,ISG15,SQLE	5 (2)	2	 	 	 	 	 	 	 	 	 	
PAWR	transcription regulator	 	2	Activated	 	2.449	3.23E-05	2.65E-02	AKT (family),CASP3,PAWR	CCN2,CD44,IFIT3,ISG15,MMP12,PDK4	6 (3)	2	 	 	 	CASP3	 	 	 	 	 	
STAT1	transcription regulator	 	1	Inhibited	biased	-2.449	3.23E-05	9.00E-03	STAT1	IFIT1,IFIT2,IFIT3,IL31RA,ISG15,PDCD1LG2	6 (1)	1	ATXN3,BTK,CGAS,CHROMR,FAM222A,FEN1,FOXC1,HDAC2,IFN BETA (family),IFNA1/IFNA13,IFNA2,IFNAR1,IFNB1,IFNL1,IFNL4,IL11,IL2,IL22,IL27,IL2RG,IL4,INTERFERON ALPHA (family),IRF3,IRS2,JAK (family),LBP,LIFR,LINC02574,MAPKAP1,MAVS,NONO,PRKCA,PRL,RIPK2,SLC15A4,TASL,TGM2,TLR7,TLR9	ATRX,BANF1,BCR-ABL1,CASP3,CASP7,EIF2AK4,ETV6,F3,FCGR2B,FES,IRGM,LHPP,LINC00624,PARP1,PGR,PRDM1,RC3H1,RPSA,SNAPIN,SOX11,STAT6,UBE2I,USP18,USP8,ZNF750	 	IRF1	 	 	 	 	 	
IFNL4	cytokine	-2.273	1	 	biased	-1.732	3.23E-05	6.60E-03	IFNL4	IFIT1,ISG15,OASL	3 (1)	1	 	 	 	IFIH1,STAT1,STAT2	 	 	 	 	 	
PSEN1	peptidase	 	2	 	 	0.577	3.23E-05	3.30E-03	CASP3,PSEN1	FDFT1,IFIT3,ISG15	3 (2)	2	EIF2AK4	 	 	CASP3	 	 	 	 	 	
USP18	peptidase	-0.766	2	 	biased	0.378	3.69E-05	4.85E-02	CFLAR,P38 MAPK (family),USP18	CCN2,CCR7,IFIT1,IFIT2,ISG15,MMP12,OASL	7 (3)	3	CHROMR,EGOT,FOXC1,IFNA2,IFNAR1,IFNL1,NONO,PBRM1,PRKCA,PRL,RIPK2,SLC15A4,SPI1,STING1,TASL,TWIST1	ETV3,F3,IRGM,RNASEH2B,STAG2,STAT2,TREX1	 	 	CFLAR,STAT1	 	 	 	 	
INS	other	 	1	 	 	-0.447	4.08E-05	7.10E-03	INS	ANO1,CCN2,CD44,GAS1,POSTN	5 (1)	1	 	 	 	 	COL3A1,HOMER1	 	 	 	 	
PRL	cytokine	 	1	Inhibited	biased	-2.449	4.33E-05	1.46E-02	PRL	CD69,CISH,IFIT1,IFIT3,ISG15,RSAD2	6 (1)	1	TWIST1	 	 	ADAR,FOS,IFIH1,IRF1,IRF9,STAT1,STAT2,STAT5A/B (family),USP18	CDKN1B	 	 	 	 	
PRKCA	kinase	 	1	Inhibited	 	-2.236	4.36E-05	3.25E-02	PRKCA	IFIT1,IFIT3,ISG15,OASL,RSAD2	5 (1)	1	GAST,PLA2 (family)	PHLPP2	 	CDKN1B,HCK,IFNB1,PGR,STAT1,STAT5A/B (family),STAT6,STX4,USP18	CASP3,USP8	 	 	 	 	
USP8	peptidase	 	1	Activated	biased	2.000	4.60E-05	8.60E-03	USP8	IFIT1,IFIT2,IFIT3,ISG15	4 (1)	1	 	PRKCA	 	CTLA4	IRGM,STAT1,STAT2	 	 	 	 	
PCGEM1	other	 	2	 	biased	1.897	4.74E-05	4.96E-02	MYC,PCGEM1	CD44,HSD11B2,IFIT1,IFIT2,IFIT3,IRF4,OASL,PDK4,RSAD2,WEE1	10 (2)	2	 	 	 	 	 	 	 	 	 	
IRF3	transcription regulator	-0.187	1	Inhibited	 	-2.000	5.12E-05	8.30E-03	IRF3	IFIT1,IFIT2,ISG15,RSAD2	4 (1)	1	CGAS,INTERFERON ALPHA (family),LBP,LINC02574,MAP3K7,MAVS,STING1,TERT,TICAM1,TMEM120A	ADAR,ATAD3A,ATRX,BANF1,ETV6-RUNX1,F3,LINC00624,NLRP11,PARP1,PELI2,PPT1,RACK1,RNF216,SETX,TAFAZZIN	 	CCL5,IFIH1,IFN BETA (family),IFNA1/IFNA13,IFNL1,STAT1	IFNA2	 	 	 	 	
USP37	peptidase	 	2	Activated	 	2.111	5.30E-05	3.73E-02	BLM,MYC,USP37	CD44,HSD11B2,IFIT1,IFIT2,IFIT3,IRF4,OASL,RFTN1,RSAD2,WEE1,ZBTB16	11 (3)	3	 	 	 	 	 	 	 	 	 	
TWIST1	transcription regulator	 	1	Inhibited	biased	-2.236	5.31E-05	2.65E-02	TWIST1	CD44,IFIT2,ISG15,OASL,RSAD2	5 (1)	1	CDKN1B,USP51	TERT	 	CASP3,IRF9,PRL,USP18	 	 	 	 	 	
IFNB1	cytokine	 	1	Inhibited	biased	-2.000	5.68E-05	1.78E-02	IFNB1	IFIT1,IFIT2,IFIT3,ISG15	4 (1)	1	CGAS,FAM222A,IFNA2,INTERFERON ALPHA (family),KPNA2,LINC02574,MAVS,mir-15 (includes others),PRKCA,STING1,TERT,TICAM1,TLR7,TLR9	ADAR,BANF1,COPA,NLRP11,RACK1,RNF216,RTCB,SNAPIN,SOCS1,SPSB3,TGM2,ZNF750	 	CASP3,IL27,IRF1,IRF9,PABIR1,PDCD4,STAT1,STAT2,STAT5A/B (family)	IL2	 	 	 	 	
GPR15LG	cytokine	 	1	Activated	 	2.000	6.28E-05	5.80E-03	GPR15LG	CCN2,IFIT1,IFIT2,IFIT3	4 (1)	1	 	 	 	MAP2K5	 	 	 	 	 	
SFTPC	other	 	2	 	 	1.732	6.60E-05	2.50E-03	CASP3,SFTPC	CCN2,IFIT3,ISG15	3 (2)	2	 	IL4	 	CASP3	 	 	 	 	 	
IL2	cytokine	 	1	 	biased	-0.447	7.24E-05	4.20E-03	IL2	CD44,CD69,GZMB,LRRC32,RFTN1	5 (1)	1	 	IFNB1,IL4	 	FGFR2,IL22,IL5,IRS2,LBP,STAT1,STAT5A/B (family)	 	 	 	 	 	
MAP3K7	kinase	 	1	 	 	-1.000	7.63E-05	2.00E-02	MAP3K7	IFIT1,IFIT2,IFIT3,OASL	4 (1)	1	RIPK2,SOX11	UBB	 	IFN BETA (family),IRF3	CASP3,CASP7	 	 	 	 	
FBXO45	other	 	1	 	biased	1.414	8.59E-05	2.30E-03	FBXO45	IFIT3,ISG15	2 (1)	1	 	 	 	 	 	 	 	 	 	
SPSB3	other	 	1	 	biased	1.414	8.59E-05	5.10E-03	SPSB3	IFIT1,ISG15	2 (1)	1	 	 	 	 	CGAS,IFNB1	 	 	 	 	
NONO	transcription regulator	 	1	Inhibited	biased	-2.449	8.79E-05	1.63E-02	NONO	IFIT1,IFIT2,IFIT3,ISG15,OASL,RSAD2	6 (1)	1	PBRM1	 	 	CCL5,IFIH1,IFNL1,STAT1,STAT2,USP18	 	 	 	 	 	
PBRM1	other	 	1	Inhibited	biased	-2.236	9.14E-05	3.10E-02	PBRM1	IFIT2,IFIT3,ISG15,OASL,RSAD2	5 (1)	1	 	 	 	IFIH1,IL11,IRF1,IRF9,NONO,USP18	CCL5,IFN BETA (family)	 	 	 	 	
